,,Visual Properties,,,,,Labels,,,Graph Metrics,Do Not Edit,,Other Columns,,,,,,,,,,,,
Vertex 1,Vertex 2,Color,Width,Style,Opacity,Visibility,Label,Label Text Color,Label Font Size,Reciprocated?,ID,Dynamic Filter,Add Your Own Columns Here,Relationship,Relationship Date (UTC),Tweet,URLs in Tweet,Domains in Tweet,Hashtags in Tweet,Tweet Date (UTC),Twitter Page for Tweet,Latitude,Longitude,Imported ID,In-Reply-To Tweet ID
makilla44,sku11ster,,,,,,,,,,,,,Mentions,28/05/2022 20:14,"RT @sku11ster: ?? $22 AK-47 EMPRESS
#CSGOGiveaway  ??

To Enter:

?-Retweet 
?-Like &amp; Sub:
https://t.co/K2LkwpHfVM
(Post Proof)

Good luck ??-…",https://www.youtube.com/watch?v=N4BRw38Bt60&feature=youtu.be,youtube.com,csgogiveaway,28/05/2022 20:14,https://twitter.com/#!/makilla44/status/1530643743996809216,,,1530643743996809216,
valonavdijaj,kuddati,,,,,,,,,,,,,Mentions,28/05/2022 20:14,"RT @kuddati: tbh it was fun casting csgo for the first time even tho i did a shitty job i liked how i did this 
thanks for showing hate ??
c…",,,,28/05/2022 20:14,https://twitter.com/#!/valonavdijaj/status/1530643765056135171,,,1530643765056135171,
yazicikenann,lilpkle,,,,,,,,,,,,,Mentions,28/05/2022 20:15,"RT @LilPKLE: ? Flip Knife | Urban Masked ($118) Giveaway
??follow 
??retweet
??Drop a comment (show proof)
https://t.co/d0Y1rqWCRV

Rolling so…",https://www.youtube.com/watch?v=TEy6zANF3uM&feature=youtu.be,youtube.com,,28/05/2022 20:15,https://twitter.com/#!/yazicikenann/status/1530643896799207424,,,1530643896799207424,
agusroj1,asscdawn,,,,,,,,,,,,,Mentions,28/05/2022 20:15,"RT @hellcasecom: ?? Tag The Best Friend &amp; Like
?? Follow us
?? Retweet this post
?? The last winner was @asscdawn 
 
#hellcase #csgo #csgoskin…",,,hellcase csgo csgoskin,28/05/2022 20:15,https://twitter.com/#!/agusroj1/status/1530643905661874176,,,1530643905661874176,
agusroj1,hellcasecom,,,,,,,,,,,,,Mentions,28/05/2022 20:15,"RT @hellcasecom: ?? Tag The Best Friend &amp; Like
?? Follow us
?? Retweet this post
?? The last winner was @asscdawn 
 
#hellcase #csgo #csgoskin…",,,hellcase csgo csgoskin,28/05/2022 20:15,https://twitter.com/#!/agusroj1/status/1530643905661874176,,,1530643905661874176,
beverncs,lilpkle,,,,,,,,,,,,,Mentions,28/05/2022 20:15,"RT @LilPKLE: ? Flip Knife | Urban Masked ($118) Giveaway
??follow 
??retweet
??Drop a comment (show proof)
https://t.co/d0Y1rqWCRV

Rolling so…",https://www.youtube.com/watch?v=TEy6zANF3uM&feature=youtu.be,youtube.com,,28/05/2022 20:15,https://twitter.com/#!/beverncs/status/1530643935382622212,,,1530643935382622212,
losum01,sku11ster,,,,,,,,,,,,,Mentions,28/05/2022 20:13,"RT @sku11ster: ?? AK-47 NEON REVOLUTION
#CSGOGiveaway  ??

To Enter:

?-Retweet 
?-Like &amp; Sub:
https://t.co/5DTATznIzL
(Post Proof)

Good luc…",https://www.youtube.com/watch?v=qDsM362JZ8A&feature=youtu.be,youtube.com,csgogiveaway,28/05/2022 20:13,https://twitter.com/#!/losum01/status/1530643336037531653,,,1530643336037531653,
losum01,markcsgoyt,,,,,,,,,,,,,Mentions,28/05/2022 20:14,"RT @sku11ster: ?? AK-47 Slate (FN)
#CSGOGiveaway  ??

To Enter:

?-Retweet &amp; Follow: @Markcsgoyt
?-Like &amp; Sub:
https://t.co/plnEqjIEyO
(Post…",https://www.youtube.com/watch?v=OgSuM_IE_cM&feature=youtu.be,youtube.com,csgogiveaway,28/05/2022 20:14,https://twitter.com/#!/losum01/status/1530643668977205248,,,1530643668977205248,
losum01,sku11ster,,,,,,,,,,,,,Mentions,28/05/2022 20:14,"RT @sku11ster: ?? AK-47 Slate (FN)
#CSGOGiveaway  ??

To Enter:

?-Retweet &amp; Follow: @Markcsgoyt
?-Like &amp; Sub:
https://t.co/plnEqjIEyO
(Post…",https://www.youtube.com/watch?v=OgSuM_IE_cM&feature=youtu.be,youtube.com,csgogiveaway,28/05/2022 20:14,https://twitter.com/#!/losum01/status/1530643668977205248,,,1530643668977205248,
losum01,tonyeditss,,,,,,,,,,,,,Mentions,28/05/2022 20:15,"RT @tonyeditss: ??? Hand Wraps | Desert Shamagh [FT] Skin Giveaway
??Follow me
??Like &amp; RT
??Show love on my new video.
(must leave proof)
h…",,,,28/05/2022 20:15,https://twitter.com/#!/losum01/status/1530643965007040512,,,1530643965007040512,
